name,path,weight_kg
Citroen_C3_2025_.jpg,IMAGES\HatchBack\Citroen_C3_2025_.jpg,
Citroen_C4_2025_.jpg,IMAGES\HatchBack\Citroen_C4_2025_.jpg,
Fiat_500_2025_.jpg,IMAGES\HatchBack\Fiat_500_2025_.jpg,
Opel_Astra_2025_.jpg,IMAGES\HatchBack\Opel_Astra_2025_.jpg,
Skoda_Fabia_2025_.jpg,IMAGES\HatchBack\Skoda_Fabia_2025_.jpg,
Хетчбек_Audi_A3_2001_в_Рівному.jpg,IMAGES\HatchBack\Хетчбек_Audi_A3_2001_в_Рівному.jpg,
Хетчбек_Audi_A3_2005_в_Дунаївцях.jpg,IMAGES\HatchBack\Хетчбек_Audi_A3_2005_в_Дунаївцях.jpg,
Хетчбек_Audi_A3_2012_в_Хмельницькому.jpg,IMAGES\HatchBack\Хетчбек_Audi_A3_2012_в_Хмельницькому.jpg,
Хетчбек_Audi_A3_2016_в_Києві.jpg,IMAGES\HatchBack\Хетчбек_Audi_A3_2016_в_Києві.jpg,
Хетчбек_BMW_1_Series_2005_в_Івано-Франківську.jpg,IMAGES\HatchBack\Хетчбек_BMW_1_Series_2005_в_Івано-Франківську.jpg,
Хетчбек_BMW_1_Series_2005_в_Звягелі.jpg,IMAGES\HatchBack\Хетчбек_BMW_1_Series_2005_в_Звягелі.jpg,1355.0
Хетчбек_BMW_1_Series_2006_в_Трускавці.jpg,IMAGES\HatchBack\Хетчбек_BMW_1_Series_2006_в_Трускавці.jpg,1355.0
Хетчбек_BMW_1_Series_2009_в_Львові.jpg,IMAGES\HatchBack\Хетчбек_BMW_1_Series_2009_в_Львові.jpg,1355.0
Хетчбек_BMW_1_Series_2018_в_Києві.jpg,IMAGES\HatchBack\Хетчбек_BMW_1_Series_2018_в_Києві.jpg,1365.0
Хетчбек_BMW_1_Series_2021_в_Чернівцях.jpg,IMAGES\HatchBack\Хетчбек_BMW_1_Series_2021_в_Чернівцях.jpg,1365.0
Хетчбек_BMW_i3S_2021_в_Києві.jpg,IMAGES\HatchBack\Хетчбек_BMW_i3S_2021_в_Києві.jpg,1365.0
Хетчбек_BMW_I3_2014_в_Дніпрі.jpg,IMAGES\HatchBack\Хетчбек_BMW_I3_2014_в_Дніпрі.jpg,1345.0
Хетчбек_BMW_I3_2014_в_Києві.jpg,IMAGES\HatchBack\Хетчбек_BMW_I3_2014_в_Києві.jpg,1345.0
Хетчбек_BMW_I3_2015_в_Києві.jpg,IMAGES\HatchBack\Хетчбек_BMW_I3_2015_в_Києві.jpg,1345.0
Хетчбек_BMW_I3_2016_в_Василькові.jpg,IMAGES\HatchBack\Хетчбек_BMW_I3_2016_в_Василькові.jpg,1345.0
Хетчбек_BMW_I3_2018_в_Одесі.jpg,IMAGES\HatchBack\Хетчбек_BMW_I3_2018_в_Одесі.jpg,1345.0
Хетчбек_BMW_I3_2019_в_Ужгороді.jpg,IMAGES\HatchBack\Хетчбек_BMW_I3_2019_в_Ужгороді.jpg,1345.0
Хетчбек_BMW_I3_2019_в_Хмельницькому.jpg,IMAGES\HatchBack\Хетчбек_BMW_I3_2019_в_Хмельницькому.jpg,1345.0
Хетчбек_BMW_I3_2020_в_Дніпрі.jpg,IMAGES\HatchBack\Хетчбек_BMW_I3_2020_в_Дніпрі.jpg,1345.0
Хетчбек_BYD_E2_2023_в_Броварах.jpg,IMAGES\HatchBack\Хетчбек_BYD_E2_2023_в_Броварах.jpg,1435.0
Хетчбек_BYD_Seagull_2025_в_Вінниці.jpg,IMAGES\HatchBack\Хетчбек_BYD_Seagull_2025_в_Вінниці.jpg,1160.0
Хетчбек_BYD_Seagull_2025_в_Києві.jpg,IMAGES\HatchBack\Хетчбек_BYD_Seagull_2025_в_Києві.jpg,1160.0
Хетчбек_Chery_QQ_2007_в_Києві.jpg,IMAGES\HatchBack\Хетчбек_Chery_QQ_2007_в_Києві.jpg,860.0
Хетчбек_Chevrolet_Aveo_2008_в_Києві.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Aveo_2008_в_Києві.jpg,1150.0
Хетчбек_Chevrolet_Aveo_2008_в_Кривому_Розі.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Aveo_2008_в_Кривому_Розі.jpg,1150.0
Хетчбек_Chevrolet_Bolt_EV_2017_в_Брошневі-Облозі.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Bolt_EV_2017_в_Брошневі-Облозі.jpg,1625.0
Хетчбек_Chevrolet_Bolt_EV_2017_в_Рівному.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Bolt_EV_2017_в_Рівному.jpg,1625.0
Хетчбек_Chevrolet_Bolt_EV_2018_в_Білій_Церкві.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Bolt_EV_2018_в_Білій_Церкві.jpg,1625.0
Хетчбек_Chevrolet_Bolt_EV_2018_в_Києві.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Bolt_EV_2018_в_Києві.jpg,1625.0
Хетчбек_Chevrolet_Bolt_EV_2020_в_Дніпрі.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Bolt_EV_2020_в_Дніпрі.jpg,1625.0
Хетчбек_Chevrolet_Bolt_EV_2020_в_Києві.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Bolt_EV_2020_в_Києві.jpg,1625.0
Хетчбек_Chevrolet_Bolt_EV_2021_в_Ніжині.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Bolt_EV_2021_в_Ніжині.jpg,1625.0
Хетчбек_Chevrolet_Bolt_EV_2022_в_Києві.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Bolt_EV_2022_в_Києві.jpg,1625.0
Хетчбек_Chevrolet_Bolt_EV_2022_в_Фастові.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Bolt_EV_2022_в_Фастові.jpg,1625.0
Хетчбек_Chevrolet_Bolt_EV_2023_в_Івано-Франківську.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Bolt_EV_2023_в_Івано-Франківську.jpg,1625.0
Хетчбек_Chevrolet_Bolt_EV_2023_в_Запоріжжі.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Bolt_EV_2023_в_Запоріжжі.jpg,1628.0
Хетчбек_Chevrolet_Bolt_EV_2023_в_Рівному.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Bolt_EV_2023_в_Рівному.jpg,1628.0
Хетчбек_Chevrolet_Bolt_EV_2023_в_Фастові.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Bolt_EV_2023_в_Фастові.jpg,1628.0
Хетчбек_Chevrolet_Kalos_2007_в_Києві.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Kalos_2007_в_Києві.jpg,1150.0
Хетчбек_Chevrolet_Lacetti_2005_в_Львові.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Lacetti_2005_в_Львові.jpg,1235.0
Хетчбек_Chevrolet_Volt_2012_в_Одесі.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Volt_2012_в_Одесі.jpg,1721.0
Хетчбек_Chevrolet_Volt_2015_в_Лозовій.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Volt_2015_в_Лозовій.jpg,1607.0
Хетчбек_Chevrolet_Volt_2015_в_Одесі.jpg,IMAGES\HatchBack\Хетчбек_Chevrolet_Volt_2015_в_Одесі.jpg,1607.0
Хетчбек_Citroen_C1_2012_в_Києві.jpg,IMAGES\HatchBack\Хетчбек_Citroen_C1_2012_в_Києві.jpg,840.0
Хетчбек_Citroen_C3_2003_в_Копичинці.jpg,IMAGES\HatchBack\Хетчбек_Citroen_C3_2003_в_Копичинці.jpg,1005.0
