image_path,overexposed,degree
..\DATASETS\overbrightened\HatchBack\Citroen_C3_2025__l.jpg,True,1.1154054260533657
..\DATASETS\overbrightened\HatchBack\Citroen_C4_2025__l.jpg,True,0.9999343512341718
..\DATASETS\overbrightened\HatchBack\Fiat_500_2025__u.jpg,True,0.9631968240033097
..\DATASETS\overbrightened\HatchBack\Opel_Astra_2025__l.jpg,False,0.0
..\DATASETS\overbrightened\HatchBack\Skoda_Fabia_2025_.jpg,False,0.0
..\DATASETS\overbrightened\HatchBack\Хетчбек_Audi_A3_2001_в_Рівному.jpg,True,0.36632616596987044
..\DATASETS\overbrightened\HatchBack\Хетчбек_Audi_A3_2005_в_Дунаївцях_l.jpg,True,0.9990139536487737
..\DATASETS\overbrightened\HatchBack\Хетчбек_Audi_A3_2012_в_Хмельницькому_l.jpg,False,0.0
..\DATASETS\overbrightened\HatchBack\Хетчбек_Audi_A3_2016_в_Києві_u.jpg,False,0.0
..\DATASETS\overbrightened\HatchBack\Хетчбек_BMW_1_Series_2005_в_Івано-Франківську_d.jpg,True,0.8248661296293716
..\DATASETS\overbrightened\HatchBack\Хетчбек_BMW_1_Series_2005_в_Звягелі_l.jpg,False,0.0
..\DATASETS\overbrightened\HatchBack\Хетчбек_BMW_1_Series_2006_в_Трускавці_d.jpg,False,0.0
..\DATASETS\overbrightened\HatchBack\Хетчбек_BMW_1_Series_2009_в_Львові_u.jpg,True,0.18691298167501946
..\DATASETS\overbrightened\HatchBack\Хетчбек_BMW_1_Series_2018_в_Києві_u.jpg,False,0.0
..\DATASETS\overbrightened\HatchBack\Хетчбек_BMW_1_Series_2021_в_Чернівцях_u.jpg,True,1.0178918372911772
..\DATASETS\overbrightened\HatchBack\Хетчбек_BMW_i3S_2021_в_Києві_u.jpg,True,0.4369310117701113
..\DATASETS\overbrightened\HatchBack\Хетчбек_BMW_I3_2014_в_Дніпрі_l.jpg,False,0.0
